time-consuming,시간이 걸리는,Making a home-cooked meal has been removed because we perceive them as time-consuming,집에서 음식을 요리하는 것은 우리가 그것들을 시간이 걸리는 것으로 인식하기 때문에 없어져왔다.,Making a home-cooked meal has been removed because we perceive them as _,,time-consuming
simplify,단순화하다,The whole process has now been greatly simplified.,전체 공정이 이제는 크게 단순화되었다.,The whole process has now been greatly _.,,simplified
defense,방어쉼표 수비쉼표 변명쉼표 변호,They fought in defense of their country.,그들은 자신의 나라를 지키기 위해 싸웠다.,They fought in _ of their country.,,defense
awareness,인식,There was an almost complete absence of awareness of the issues involved.,관련 사안들에 대한 인식이 거의 전적으로 부재했다.,There was an almost complete absence of _ of the issues involved.,,awareness
significant,중요한,Two hours a week can make a significant difference in a pet따옴표s life!,일주일에 두 시간은 반려동물의 삶에 중요한 차이를 만들 수 있다!,Two hours a week can make a _ difference in a pet따옴표s life!,,significant
convince,확신시키다쉼표 설득하다,His arguments didn따옴표t convince everyone쉼표 but changes were made.,그의 주장이 모두를 납득시키지는 못했지만쉼표 변화는 만들어졌다.,His arguments didn따옴표t _ everyone쉼표 but changes were made.,,convince
potential,잠재적인쉼표 잠재력,There are many examples of the IoT따옴표s potential value.,사물인터넷의 잠재적 가치에 대한 사례가 많이 있다.,There are many examples of the IoT따옴표s _ value.,,potential
disposal,처리쉼표 처분쉼표 배치쉼표 배열,Talks were held on the safe disposal of nuclear waste.,핵폐기물의 안전한 처리에 대한 회담이 열렸다.,Talks were held on the safe _ of nuclear waste.,,disposal
realm,영역쉼표 범위,The realms of man and nature were indistunguishable.,인간과 자연의 영역은 구별할 수 없었다.,The _ of man and nature were indistunguishable.,,realms
static,정적인쉼표 정전기,Far from being static쉼표 the environment is constantly changing.,정적이기는 커녕 환경은 끊임없이 변하고 있다.,Far from being _쉼표 the environment is constantly changing.,,static
publish,출판하다쉼표 발표하다,Mary published her autobiography쉼표 Wonderful Adventures of Mrs.Seacole in Many Lands.,Mary는 자신의 자서전 따옴표Wonderful Adventures of Mrs.Seacole in Many Lands따옴표를 출간하였다.,Mary _ her autobiography쉼표 Wonderful Adventures of Mrs.Seacole in Many Lands.,,published
identity,정체성쉼표 동일함,The Korean flan is an important part of our national identity.,태극기는 우리의 국가 정체성의 중요한 부분이다.,The Korean flan is an important part of our national _.,,identity
straightforward,간단한쉼표 솔직한,Using the computer program is fairly straightforward.,그 컴퓨터 프로그램을 사용하는 것은 매우 간단하다.,Using the computer program is fairly _.,,straightforward
appearance ,외양쉼표 나타남,Many of the building on Armenian Street have unusual appearance.,아르메니아 거리에 있는 많은 건물들은 특이한 외양을 가지고 있다.,Many of the building on Armenian Street have unusual _.,,appearances
detect,탐지하다,Some fish can detect smells a million times better than humans can.,일부 물고기는 인간보다 130만 배 더 잘 냄새를 탐지할 수 있다.,Some fish can _ smells a million times better than humans can.,,detect
strategy,전략쉼표 계획,The use of high technology is core to our strategy.,첨단 기술 사용이 우리 전략의 핵심이다.,The use of high technology is core to our _.,,strategy
independent,독립된쉼표 독자적인,Korea became independent in 1945.,한국은 1945년에 독립되었다.,Korea became _ in 1945.,,independent
resolution,결의쉼표 해결쉼표 결심,In 2017쉼표 the European Parliament approved a resolution calling for the creation of laws on robotics.,2017년에 유럽 의회는 로봇공학에 관한 법률 제정을 요구하는 결의안을 승인했다.,In 2017쉼표 the European Parliament approved a _ calling for the creation of laws on robotics.,,resolution
occasional,가끔의쉼표 임시의,We never quite grow out of occasional attacks of helplessness.,우리는 가끔 닥치는 무기력증의 공격을 완전히 떨칠 수는 없다.,We never quite grow out of _ attacks of helplessness.,,occasional
embrace,감싸다쉼표 포괄하다쉼표 포용하다,In the midst of the chaos쉼표 an unbelievable peace embraced me.,혼돈 속에서쉼표 믿을 수 없는 평화가 나를 감쌌다.,In the midst of the chaos쉼표 an unbelievable peace _ me.,,embraced
aesthetic,미학적쉼표 미학,The new furniture was more aesthetic rather than functional,새 가구는 기능적이기보다 미적이었다.,The new furniture was more _ rather than functional,,aesthetic
ethnic,민족의,The Nuer are one of the largest ethnic groups in South Sudan쉼표 primarily residing in the Nile River Valley,Nuer 족은 주로 나릴강근처에 거주하는 남수단의 가장 큰 민족 집단 중 하나이다.,The Nuer are one of the largest _ groups in South Sudan쉼표 primarily residing in the Nile River Valley,,ethnic
reinforce,강화하다,People often give some statistics to support or reinforce their points.,사람들은 종종 자신의 의견을 뒷받침하거나 강화하기 위해 몇몇 통계 자료를 제시한다.,People often give some statistics to support or _ their points.,,reinforce
pioneer,개척자쉼표 개척하다,Pioneers from New England gradually migrated to all parts of the United States.,뉴잉글랜드 출신의 개척자들은 점차 미국 전역으로 이주했다.,_ from New England gradually migrated to all parts of the United States.,,Pioneers
lifelong,일생의,Enjoy a fun evening with your family and make special lifelong memories!,가족과 함께 즐거운 저녁을 즐기시고 특별한 일생의 추억을 만드세요!,Enjoy a fun evening with your family and make special _ memories!,,lifelong
virtual,사실상의쉼표 가상의,The country was slipping into a state of virtual civil war.,그 나라는 사실상의 내전 상태로 빠져 들고 있었다.,The country was slipping into a state of _ civil war.,,virtual
digest,(소화쉼표 이해쉼표 요약)하다쉼표 요약,Fatty foods take long to digest.,기름진 음식은 소화하는 데 오래 걸린다.,Fatty foods take long to _.,,digest
intrinsic,본질적인쉼표 내재성의,The intrinsic value of her gold ring is priceless.,그녀의 금반지의 본질적인 가치는 값을 매길 수 없다.,The _ value of her gold ring is priceless.,,intrinsic
