absurd,애매한,,,,,absurd,o,12,,,,,
account,설명,,,,,account,o,2,,,,,
agony,고뇌,,,,,agony,o,2,,,,,
assert,to insist strongly,,,,,assert,o,12,,,,,
benefactor,,,,,,benefactor,o,2,,,,,
conceived,생각하다쉼표 상상임신하다,,,,,conceived,o,2,,,,,
contribute A to B,A에 B를 기여하다,,,,,contribute A to B,o,2,,,,,
desolate,황량한쉼표 적막한,,,,,desolate,o,12,,,,,
discord,불협화음,,,,,discord,o,12,,,,,
dispatch,급파하다,,,,,dispatch,o,12,,,,,
either A or B,A 또는 B 중 하나,,,,,either A or B,o,2,,,,,
enable A to B,A로 하여금 B가 가능하게 하다,,,,,enable A to B,o,12,,,,,
extinct,멸종되다,,,,,extinct,o,2,,,,,
former,전자,,,,,former,o,2,,,,,
immortality,불멸쉼표 영생,,,,,immortality,o,2,,,,,
indispensable,반드시 필요한,,,,,indispensable,o,12,,essential,vital,crucial,necessary
mortals,죽는 이들,,,,,mortals,o,2,,,,,
nothing but ,단순한,,,,,nothing but ,o,2,,,,,
oblivion,망각,,,,,oblivion,o,2,,,,,
of thought,마음 내키는 대로,,,,,of thought,o,2,,,,,
plague,전염병,,,,,plague,o,2,,,,,
probable,있음직한,,,,,probable,o,12,,,,,
prodigal,방탕한,,,,,prodigal,o,12,spending too much,extravagant,,,
put out,내쫓다,,,,,put out,o,12,,extinguish,,,
superior,우월한,,,,,superior,o,2,,,,,
wait on,시중들다,,,,,wait on,o,2,,,,,
yield,양보하다쉼표 생산하다쉼표 …,,,,,yield,o,12,,,,,
dispose,배열하다쉼표 배치하다쉼표 처리하다쉼표 버리다쉼표 ~하는 경향이 있다,,,,,dispose,oo,12,,,,,
repective,각각의,,,,,repective,oo,2,,,,,
succeed,계승하다,,,,,succeed,oo,12,,,,,
virtuous,선한,,,,,virtuous,oo,2,,,,,
