goad somebody on,-,-,~를 자극[선동]하다,_,,goad somebody on
goad,-,-,(~을 할 때까지) 못살게 굴다[들들 볶다],_,,goad
groundbreaking,-,-,신기원을 이룬쉼표 획기적인,_,,groundbreaking
haul,-,-,(아주 힘들여) 끌다쉼표 (몸을) 간신히 움직이다쉼표 (억지로) 끌고가다[오다]쉼표 출두시키다,_,,haul
hollow,-,-,빈쉼표 쑥 들어간쉼표 움푹 꺼진쉼표 공허한쉼표 헛된쉼표 무의미한쉼표 움푹 꺼진 곳쉼표 구멍쉼표 우묵하게 만들다,_,,hollow
imperious,-,-,고압적인,_,,imperious
incessantly,-,-,끊임없이,_,,incessantly
indignation,-,-,분개쉼표 분함,_,,indignation
intimate,-,-,친밀한쉼표 넌지시 알리다쉼표 시사하다,_,,intimate
invalid,-,-,효력 없는[무효한]쉼표 근거 없는쉼표 병약자,_,,invalid
irrational,-,-,비이성적인,_,,irrational
lampoon,-,-,풍자하다쉼표 풍자,_,,lampoon
languish,-,-,(강요를 받아 어디에서) 머물다쉼표 (오랫동안 불쾌한 일을) 겪다. 약화되다쉼표 (진전이) 시들해지다,_,,languish
lavish  A on/upon B,-,-,B에게 A를 많이[지나치게] 주다,_,,lavish  A on/upon B
lavish,-,-,풍성한쉼표 호화로운쉼표 아주 후한,_,,lavish
malice,-,-,악의쉼표 적의,_,,malice
mount,-,-,(~을 조직하여) 시작하다쉼표 (서서히) 증가하다쉼표 올라가다쉼표 올라타다,_,,mount
nag,-,-,(계속) 잔소리를 하다[바가지를 긁다],_,,nag
nebulous,-,-,흐릿한쉼표 모호한,_,,nebulous
obnoxious,-,-,아주 불쾌한쉼표 몹시 기분 나쁜,_,,obnoxious
